id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,noi_dung_binh_luan_processed,label
13391,776,"sài rất ổn, mình chỉ sài loại này thôi.",18/10/2021,18:13,5,100230057,ổn sài,1
13392,1915,"serum này mình thấy hợp với da dầu mụn của mình, các bạn có thể tham khảo nhé, chất ko quá lỏng cũng ko quá đặc, ko mùi, chai bằng thuỷ tinh nắp bằng nhựa, cầm khác chắc tay, lỡ có bị rớt nhẹ chắc cũng ko sao đâu",26/01/2022,10:40,5,100210023,hợp khảo không_quá đặc_không_mùi cầm rớt nhẹ không_đâu,1
13393,72,"Đã nhận đc hàng. Giá tốt, shipper dễ thương. Chất lượng thì hi vọng cg sẽ tốt",20/10/2021,12:07,5,318900011,chào_vọng,1
13394,2938,Đã mua hàng. Shop giao rất nhanh. Mặt nạ dùng rất ưng ý. Mình đã thử mua nhiều loại và mỗi loại đều có công dụng riêng,24/04/2024,15:26,5,365000014,ưng_ý thử,1
13395,1183,Lên da nhe tênh chất lương,21/07/2022,22:23,5,249500013,,1
13396,2444,"Mặt Nạ NARUKO Tràm Trà Kiểm Soát Dầu Và Giảm Mụn 26ml mùi thơm đắp mát có điều free size mặt mình còn trai đắp kéo mặt nạ vừa mặt thi mủi mới dc 1 phần sống mủi còn chóp mũi thi k đắp tới , tiếc thật",29/07/2020,1:21,4,422205162,mụn mát kích_thước đắp kéo sống mủi chóp tiếc,1
13397,384,"Da mình siêu nhạy cảm, dùng con này quá êm sạch mà ko bị khô",29/10/2023,9:51,5,422208973,siêu nhạy_cảm êm_sạch không_bị khô,1
13398,3429,"Dưỡng trắng tốt, mình dùng hết 1 chai da trắng với căng bóng hẳn, đáng tiền, giá hơi cao nhưng chất lượng",25/01/2021,8:31,5,422202580,trắng trắng,1
13399,2403,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ. ===========",27/04/2023,13:05,5,422205163,dễ_dàng thoải_mái,1
13400,196,"Ngon, bổ, rẻ, dùng liên tục 5 năm rồi và chưa có ý định thay đổi",3/7/2022,0:47,5,205100146,bổ rẻ đổi,1
13401,4055,"Mức độ hài lòng trung bình, còn nhiều điều cần cải thiện.",25/11/2020,15:35,2,200400004,,0
13402,2077,"sản phẩm tốt, mua cửa hàng được nhân viên tư vấn tận tình",24/07/2023,13:28,5,422212361,cửa_hàng,1
13403,3096,Mình xài loại này với loại màu xanh mua ở hasaki rồi. Gần như k tác dụng j luôn. Mụn lên đầu hơi trắng rồi vẫn k lấy đc nhân mụn ra mà lúc đã lấy ra rồi mình dán lên cũng k có tác dụng hút hết phần còn sót lại nữa.,30/09/2022,15:21,2,100250032,xài mụn trắng không_lấy nhân_mụn dán hút sót,0
13404,1059,"Không phù hợp, lãng phí tiền bạc và thời gian.",13/06/2020,10:22,1,204100019,lãng_phí,0
13405,2429,Mặt nạ này giá khá rẽ và sử dụng lại khá tốt. Mua về cả nhà đắp xem tv lướt qua những ngày giãn cách xã hội,1/6/2021,14:12,5,308500018,rẽ đắp lướt,1
13406,653,Sản phẩm chất lượng đáng để sử dụng,12/12/2023,10:02,5,200400003,chất_lượng,1
13407,1687,"Kem không cồn, silicone, phù hợp cho da nhạy cảm. Chất kem đặc, thoa lên da mịn, để lại lớp màng hơi dầu và bóng mặt. Làm dịu da tốt, da có mụn sưng xài kem này kết hợp serum B5 là hôm sau xẹp mụn liền",29/06/2021,16:06,5,318900019,silicone đặc màng dịu xài kết_hợp xẹp mụn,1
13408,2106,"Chất lượng kém, không đáp ứng được mong đợi của tôi.",11/10/2021,17:07,2,308500018,kém đợi,0
13409,2406,kiềm dầu tốt,4/3/2023,6:04,5,308500018,,1
13410,302,"Nói chứ dùng 4 chai rồi và lần nào cũng mua ở Hấkiii, dùng đc ẻm là mê luôn ko muốn đổi loại, hên sao mình toàn mua ngay lúc sale nên ngon bổ rẻ lắm luôn",23/02/2021,19:04,5,205100137,ẻm mê không_muốn_đổi giảm_giá bổ_rẻ,1
13411,1053,Okela. Sạch và k cay mắt,9/8/2024,22:07,5,422204906,sạch,1
13412,2043,"mình dùng loại này rất nhiều rồi, nhưng lần này rất nồng mùi cồn ko giống các lần trước mình dùng, còn bị vón bếch trên da nữa",14/10/2022,16:25,1,422207413,nồng không_giống vón bếch,0
13413,1153,"Dịch vụ và sản phẩm đều kém, không nên mua.",8/10/2022,10:24,1,422205162,kém,0
13414,836,rất hài lòng,6/6/2024,11:18,5,422214321,hài_lòng,1
13415,692,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ",30/04/2023,16:22,5,308500009,dễ_dàng thoải_mái,1
13416,3992,Kem không bật tone đâu mà nó chỉ trắng bệt thôi nha @@ kiềm dầu cực kì kém. Mình xài đúng 2 lần. Dù có thoa hay miết kĩ như thế nào thì nó vẫn trắng bệt @@ Bạn nào da cực trì trắng không khuyết điểm thì chắc mới hợp màu của em này,14/04/2022,23:16,1,331300023,trắng_bệt cực_kì kém xài khô trắng_bệt cực_trì trắng không_khuyết_điểm hợp,0
13417,1715,"Đánh giá: Hàng tới tay đóng gói cẩn thận , chất lượng miễn chê",21/11/2023,19:38,5,100240016,cẩn_thận miễn chê,1
13418,2406,kiềm dầu tốt,4/3/2023,6:04,5,422205162,,1
13419,2463,ooo,28/08/2019,16:25,5,308500018,,1
13420,4647,Dùng được cho nhu cầu cơ bản nhưng không có gì nổi trội so với loại khác.,9/10/2024,20:04,3,422218746,cơ_bản nổi_trội,0
13421,3319,"dung tích nhiều , thấm lẹ",13/02/2023,22:47,5,422212097,phân_tích thấm,1
13422,1157,Trộm vía sài em này hợp!! Sài xong thấy mát mịn mặt em này nếu mà ai đang tình trạng mụn xưng nhẹ thì sài ổn nha,30/05/2024,15:02,5,422216291,sài xưng nhẹ sài ổn,1
13424,1664,"mình thấy sài loại này tốt , da nhạy cảm sài hiểu quả , và ít lên mụn luôn á mn",6/5/2022,13:21,5,318900019,mụn á_mọi,1
13425,216,"Sản phẩm chất lượng, phù hợp với tẩy trang hằng ngày ^^",12/3/2022,19:29,5,422208807,chất_lượng,1
13426,853,"Hàng đi nhanh chóng, đóng gói cẩn thận và a giao hàng nói chuyện cực dễ thương lun ! Lần đầu sử dụng nên chưa bít sẽ như thế nào, cơ mà mua ngay lúc được khuyến mãi 2 chai nước tẩy trang bé bé xinh xinh lun",27/11/2021,17:15,4,422214321,đi chóng_chóng cẩn_thận cực bít khuyến_mãi,1
13427,2051,"Khá hài lòng, nhưng vẫn chưa thấy sự khác biệt so với loại khác.",17/04/2023,16:47,3,248700102,hài_lòng khác_biệt,0
13428,1382,Sản phẩm sử dụng ok,9/5/2022,13:18,5,422200305,,1
13429,644,sản phẩm chất lượng đáng để sử dụng,22/02/2024,19:52,5,200400003,chất_lượng,1
13430,1455,"Mình được bạn giới thiệu về dòng srm này. Vì trước giờ mình dùng đủ loại srm có cồn và k bị vấn đề gì nên mình nghĩ srm cho da nhạy cảm k cồn thì vẫn sẽ ok. Bất ngờ là mình bị dị ứng sau ngay lần dùng đầu tiên, mụn nhỏ mọc khắp mặt và phải rửa bằng nước muối sinh lý nửa tháng mới hết. Mình có pass lại chai này cho bạn thì bạn mình dùng vẫn ok. Nên mình k đánh giá là sp k tốt mà chỉ là sp này k hợp với mình. Thêm nữa là lời khuyên khi mua hàng thì nên test thử cả với loại cho da nhạy cảm nhé",24/07/2022,17:39,2,204900128,giới_thiệu rửa rửa sữa_rửa mặt dị_ứng mọc khắp rửa không_đánh không_tốt không_hợp khuyên test thử,0
13431,2867,"Không biết công dụng như thế nào nhưng mặt nạ bùn mịn, mùi ko khó chịu. Đắp lên da cảm giác mát.",29/12/2021,10:39,5,355500010,công_dụng mặt_nạ mịn đắp mát,1
13432,1997,"Da mình dễ nổi mụn mà nghe review em này cũng nhiều nên mình mua thử. Giá mềm, k bí da, k lên tông, mùi dễ chịu. Nói chung ok. Mình ngồi văn phòng nên dùng ngày có lần 1 à. Xài đc 1,5 tháng rồi mà thấy còn cũng khá nhiều á",26/11/2022,22:08,5,249500019,thử mềm không_lên_tông văn_phòng xài,1
13433,2577,Sản phẩm chất lượng đáng sử dụng,25/01/2024,11:40,5,207500007,chất_lượng,1
13434,3138,Tốt,11/6/2019,13:57,5,223600026,,1
13435,3009,"rất mát, rất đã",11/4/2023,13:54,5,100150067,mát,1
13436,2926,Đắp xong sáng ngủ dậy rửa mặt mà thấy mặt sáng bừng. Cấp ẩm hiệu quat cũng ổn,17/08/2024,13:44,5,422207791,đắp ngủ dậy rửa ổn,1
13437,3650,"Đang dùng, thấy mụn giảm đi nhiều và mùi rất dễ chịu.",23/11/2023,19:33,5,422206042,mụn đi dễ_chịu,1
13438,1836,"Tuyệt vời cho da dầu mụn, mùi dễ chịu, nên mua nhé mn",2/3/2021,13:28,5,204900010,mụn,1
13439,1193,Ok,9/5/2022,22:41,5,249500007,,1
13440,1377,"xài rất thích luôn, đắp xong da mềm, mùi nhẹ dễ chịu",23/01/2024,18:33,5,422205807,xài đắp mềm nhẹ,1
13441,280,Dùng tẩy trang đủ. Vừa phải nếu bạn chỉ dùng kem chống nắng thì ok,6/6/2021,22:59,5,205100136,chống,1
13442,1145,"Xài sạch da, thấy da mặt có sáng lên nhưng hơi bị khô da.",17/05/2023,14:49,4,422218633,xài sạch khô,1
13443,357,"Chân ái đời mình, mình xài chắc chục chai rồi, khả năng kiềm dầu ổn chứ nhỉ, lên da để lại lớp finish cực kỳ đẹp, và một điều quan trọng nữa là khả năng chống nắng tốt, da mặt mình kết hợp một số loại mỹ phẩm khác và kcn này đc cái da ưng quá trời ưng, ai cũng bảo da mặt trắng hơn người, còn mịn nữa, da dầu mụn nên mua nha, da mình dầu lắm luôn mà xài rất ổn, mãi keo với kcn này của skin aqua",13/11/2022,8:28,5,422203146,xài khả_năng dầu_ổn cực_kỳ đẹp quân_trọng khả_năng chống kết_hợp chống ưng ưng bảo trắng mịn mụn xài ổn chống,1
13444,2306,được,22/12/2016,15:09,5,422216098,,1
13445,2079,mình sài rất Ok,17/06/2019,10:36,5,422207413,sài đồng_ý,1
13446,666,"Da mình hỗn hợp thiên dầu, dùng buổi tối ngủ quạt thì ok nhưng nằm máy lạnh cảm giác k đủ ẩm cảm giác da hơi khô căng như k đủ ẩm ấy",29/06/2023,9:57,4,422202629,hỗn_hợp ngủ quạt đồng_ý nằm máy_lạnh không_đủ khô căng,1
13447,4015,.,11/4/2023,10:34,5,422202153,,1
13448,1140,Mùi không dễ chịu bằng mẫu cũ nhưng cũng ok,28/02/2024,16:16,4,422207866,cũ đồng_ý,1
13449,1029,"Dễ sử dụng, rất thoải mái, thư giãn tột độ",1/5/2023,10:08,5,422205160,thoải_mái,1
13450,1206,"Rửa mặt sạch và siêu lành tính, ít bọt, giá ổn",6/8/2021,20:27,5,211300008,rửa sạch siêu_lành ổn,1
13451,3089,"Mình trải qua 3 dòng tẩy trang rồi đến em này thì đây đúng là chân áiii, dễ nhũ hóa, ẩm da cực, dùng xong thấy sạch còn mướt nữâaaaa",29/07/2022,9:21,5,224100022,trải nhũ ẩm_cực sạch mướt,1
13452,1357,Mình mua chai này 10ml sử dụng tận 1 tháng. Nó nhanh thấm cực kỳ với không bí nha! Các bạn có thể cân nhắc serum này. Da mình là hh thiên dầu!,8/8/2024,10:59,5,422208328,chóng thấm cực_kỳ,1
13453,1278,"tẩy trang rất sạch, sắp mua chai tiếp theo",29/03/2022,15:01,5,204900009,sạch tiếp,1
13454,4165,"Sản phẩm rất tốt, serum thấm nhanh và không bị bết dính. Siêu cấp nước và rất là căng mịn.",2/9/2018,15:37,5,100210015,serum không_bị_bết dính căng,1
13455,3699,Mình mua sao hình chai tròn đều chứ không giống trên hình tí nào cả,13/08/2022,21:36,3,201600141,tròn không_giống,0
13456,4340,"sản phẩm tốt,giá rẻ nữa",3/7/2023,14:08,5,256700011,rẻ,1
13457,151,Mình sẽ mua xài quài vì chỉ mỗi chai này xài hợp cho da hỗn hợp thiên dầu nhạy cảm như mình. Trộm vía ngàn lần,6/3/2023,10:34,5,422204259,xài quài xài_hợp thiên_dầu nhạy_cảm trộm_vía,1
13458,1155,"Bản mới này mùi hắc chua chua như mùi khoáng lên men ấy, bù lại xài xong da ẩm mượt hơn loại cũ, để xài thêm thgian nữa xem sao, à lần đầu sd da hơi châm chít nhẹ mấy chỗ mụn viêm nha, lúc sau thì hết",31/08/2022,23:31,4,422218631,hắc khoáng bù xài ẩm_mượt cũ xài châm_chít nhẹ mụn,1
13459,2140,đóng gói chắc chắn tầm 3-4 ngày giao tới sài da mình hỗn hợp thiên dầu thì mình thấy kiềm dầu ổn có bật tone bạn nào mún chắc chắn có thể sử dụng thêm phấn phủ,8/5/2022,8:00,5,249500021,sài hỗn_hợp thiên_dầu mún,1
13460,403,Sản phẩm này dùng tốt,15/04/2023,20:27,5,422208976,,1
13461,1811,dùng cho da mặt được kh ạ,26/02/2023,10:35,5,422218132,,1
13462,2362,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ",30/04/2023,14:35,5,308500018,dễ_dàng thoải_mái,1
13463,2150,Tẩy trang sạch lắm nha nên mua mình da dầu mụn nhạy cảm tẩy trang không bị ngứa rát nên mua nha,6/10/2023,17:38,5,223600026,sạch mụn không_bị rát,1
13465,121,"Dòng sạch sâu này đúng là hợp với da dầu mụn, dùng okie, tẩy sạch và êm nha.",19/11/2023,12:07,5,422204259,sạch sâu hợp sạch êm,1
13466,2068,"Loại ban đầu mình xài là dạng sữa loại xanh mint, theo cảm nhận của bản thân thì mình thấy kềm dầu tốt, tạo lớp nền khá mướt tuy nhiên hơi khô xa nên mình xài một lớp dưỡng ẩm trước. Nếu không dưỡng ẩm thì nhìn như bị mốc vậy. Sau khi dùng được 2 chay thì mình đổi qua dạng tinh chất, sp thấm khá nhanh, tạo lớp nền mỏng nhẹ. Dùng loại này mình không cần lớp dưỡng ẩm, toner xong là tới nó ngay. Lớp nền khá mướt, da cũng có lên tone. Theo cảm nhận của mình thì dạng tinh chất làm da mướt hơn dạng sữa",14/05/2021,10:13,5,422207413,cấm xài dầu tốt_tạo mướt_nhiên khô xài ẩm không_dưỡng ẩm mốc đổi thấm mỏng nhẹ mướt mướt,1
13467,788,"Mua lần thứ 2, vẫn thế, hàng rất đỉnh.Cám ơn Hasaki:))",2/5/2021,18:16,5,318900019,,1
13468,1690,Sau khoảng 2 tuần sử dụng thì: ngay mũi và dưới môi mình có bong tróc nhẹ! Đó là tác dụng của vitamin C. Nhưng aply lên mặt thì lâu khô. Có điều mình kết hợp với thanh lăn lạnh thì ok. Phù hợp với da nhạy cảm như mình! Và ai mới tập sài vitamin C thì sài ok vì dưới5%. Lúc mới bôi hơi nóng nóng nhẹ nhưng sài 2 tuần thấy da có sự thay đổi chút chút. Để kiên trì sài tiếp coi sao nha. 1 chai dùng chắc tầm 2 tháng á. Vì mình sài mới 1/3 thôi thôi.,16/06/2021,21:52,4,318900002,nhẹ aply khô kết_hợp tập sài sài đồng_ý bôi nóng nóng_nhẹ sài đổi kiên_trì sài tiếp sài,1
13469,2383,Sử dụng dễ dàng .rất thoải mái .thư giãn tột độ,29/04/2023,12:10,5,422205163,dễ_dàng thoải_mái,1
13470,2148,"mùi hơi khó chịu, nhưng xử dụng 1 time thấy da bớt nếp nhăn li ti và mờ nám.",26/09/2022,18:52,5,422209841,khó_chịu xử_dụng bớt nhăn mờ,1
13471,2368,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",30/04/2023,12:27,5,308500015,dễ_dàng thoải_mái,1
13472,220,Dùng OK nhưng mỏng k thích chỗ này vì xài hao,25/05/2022,23:18,5,422203301,mỏng không_thích xài,1
13473,3700,"Chất lượng sản phẩm không đạt yêu cầu, không khuyên dùng.",17/01/2022,9:17,1,422207810,sản_phẩm,0
13474,301,"mua lần thứ 3 ở hasaki, giá rẻ ,chất lượng, nhân viên phục vụ tốt",26/02/2021,22:24,5,422211447,rẻ chất_lượng phục_vụ,1
13475,2343,"Sử dụng dễ dàng, rất thoải mái, thư giãn tột độ",2/5/2023,9:43,5,308500015,dễ_dàng thoải_mái,1
13476,4471,"Hoàn toàn không dùng được, chất lượng kém xa mong đợi.",5/12/2023,20:33,1,422203617,chất_lượng kém đợi,0
13477,1434,Cực kỳ ưng hasaki luôn. Đặt hàng chưa dc 30p mà ship đã tới giao hàng rồi.,30/08/2024,16:31,5,204900128,ưng,1
13478,3732,"Sản phẩm rất là okie luôn, mùi hương diệu nhẹ. Được Hasaki giao cho mình bao bì mới. Quyết định đúng đắn khi mình mua nước tẩy trang về vì xài mỗi sửa rữa mặt cũng không sạch đủ. Lần đầu xài hãng này thấy mọi người re view xài cũng rất tốt phù hợp cho da nhạy cảm như mình",17/02/2021,12:28,5,377400001,nhẹ hasaki bì đúng_đắn nước_tẩy xài sửa không_sạch xài cảnh_xài nhạy_cảm,1
13479,2169,"đắp lên rất là mát luôn, tầm 15ph đắp xong, mình cảm thấy da mịn hẳn, sẽ test các loại khác của nhãn hiệu này",25/07/2019,23:37,5,422205164,đắp mát tầm_đắp mịn test,1
13480,210,sài loại có dầu da bị lên mụn... đổi qua loại này thì quá ok luôn.,27/03/2022,15:52,5,205100146,đổi đồng_ý,1
13481,703,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",28/04/2023,12:34,5,422202253,dễ_dàng thoải_mái,1
13482,761,"Này dùng mát lạnh, sạch da dịu nhẹ cực thích. Mình đã dùng em này nhiều rồi và vẫn có ý định tiếp tục dùng nó",13/02/2022,17:34,5,100230064,lạnh sạch dịu nhẹ cực ý_định,1
13483,4204,"Đắp lên da mát mà mịn lắm nhen, rẻ mà hiệu quả á",21/10/2022,11:10,5,422205806,đắp mát mịn rẻ hiệu_quả,1
13484,190,Trên web để được tặng bông tẩy trang nhưng ord thì hông có ạ huhu,4/8/2022,0:59,4,205100136,tặng,1
13485,3550,"Tạm được, không quá tuyệt vời nhưng cũng không tệ.",2/7/2019,23:30,3,100180113,tạm không_quá tuyệt_vời không_tệ,0
13486,2948,thành phần quá nhiều chất,23/12/2020,16:12,5,200500283,thành_phần,1
13487,2431,"Sản phẩm hỏng ngay khi vừa nhận, rất không hài lòng.",10/11/2020,13:12,1,318900002,hỏng không_hài_lòng,0
13489,1995,"da hh thiên khô và nhạy cảm của mình dùng rất OK ạ. dịu nhẹ phải nói rất tốt luôn í, bất ngờ với chất lượng như này mà giá cả lại rẻ cơ. Perfect",27/11/2022,9:34,5,249500027,đồng_ý dịu nhẹ í giá_cả,1
13490,2295,sao trên trang thì giá 129k mà bấm cho vào giỏ hàng thì là 149k vậy?,5/1/2020,21:39,4,100150058,bấm,1
13491,403,Sản phẩm này dùng tốt,15/04/2023,20:27,5,422208975,,1
13492,4052,"Đủ tốt cho nhu cầu cơ bản, không có gì để phàn nàn.",7/11/2023,11:58,3,422216594,cơ_bản phàn_nàn,0
13493,3,"Sản phẩm ở mức trung bình, dịch vụ còn nhiều bất tiện.",30/04/2023,14:06,2,422209636,,0
13494,431,"Mình dùng bản mới thấy ok á,nếu mà bạn nào mún mẫu cũ thì qua Long châu mua á( bên đó cón hàng cũ mà hơi đắt xíu)",26/05/2024,11:56,5,204900013,mún cũ cón cũ,1
13495,4034,tại sao e đặt 10 miếng mặt nạ 10 loại nhưng lại giao 1 loại thôi vậy,18/06/2022,14:55,4,365000013,,1
13496,2342,"Sử dụng dễ dàng,rất thoải mái,thư giãn tột độ",2/5/2023,9:51,5,422205160,dễ_dàng thoải_mái,1
13497,1601,"Sản phẩm này ổn lắm. Tẩy trang sạch, không gây kích ứng, dịu nhẹ, giá rẻ, trang trí đơn giản mà đẹp. Nhưng mà cái vòi xịt không có đủ cứng cáp nên khi xịt ra thì khá hao và dễ hư nếu lỡ làm rớt",4/10/2022,19:32,5,422204576,ổn sạch không_gây_kích nhẹ đơn_giản đẹp xịt xịt hảo hư lỡ rớt,1
13498,1479,Em mua này cho ba em để phục hồi da nghiện corticoid tốt lắm,11/7/2021,19:55,5,204900004,phục_hồi nghiện corticoid,1
13499,2277,"Mình xài chai thứ 2 rồi, mỏng nhẹ ko bí. Mình xài kcn rất dễ bị mụn ẩn nhưng dòng này thì không. Độ chống nắng ok. Mình xài nia của oh oh với bakuchiol rồi serum mụn của martiderm mà dùng chống nắng này thấy độ bảo vệ ôk . Canh sale thì rẻ quá chừng",13/08/2024,8:34,5,422215666,xài mỏng nhẹ xài chống mụn_ẩn chống xài serum chống bảo_vệ rẻ,1
13500,1055,Từ lúc mình chuyển qua em tẩy trang này thì mình bỏ tất cả các tẩy trang khác luôn. Tuy không làm sạch bằng la rock nhưng so với giá tiền thì mình thấy trên cả tuyệt vời. Mình k biết là đã sử dụng bao nhiêu chai rồi.,27/07/2024,12:25,5,422211183,chuyển_tẩy sạch nhiêu,1
13501,181,Hàng ok nha shop.nhưng Shipper thì thấy chán k có tiền mặt kêu chuyển khoản mà mặt nhăn quá,17/09/2022,18:41,4,205100146,đồng_ý shop shipper chán kêu chuyển_khoản nhăn,1
13502,2558,"Sản phẩm rất ok, nâng tông và chống nắng tốt . Hài lòng nhất luôn",24/07/2024,21:51,5,308900002,nâng_tông chống hài_lòng,1
13503,159,"tẩy trang sạch, ko bị khô da",29/01/2023,13:05,5,205100136,sạch khô,1
13504,420,"mk dùng của đứa bạn thấy hợp nên mua nh mà sao của mk mua nó bị dạng gel đặc sệt trong khi đó của bạn mk dạng lỏng với cả dùng mấy bữa đầu thấy da bị khô, bong",14/12/2022,0:32,3,422208974,hợp lỏng khô,0
13505,4185,Rất thích da căng mịn sau 1lần đắp,30/09/2022,19:41,5,251900019,căng đắp,1
13506,3328,"Mới dùng lần đầu nên là mình mua size mini trước, cảm nhận cá nhân sau khi dùng : kcn thấm nhanh, không gây rít, chống nước oke.",5/4/2021,11:20,5,422212097,kích_thước chống thấm rít chống,1
13507,829,Nó đỉnh thật sự luôn nha cả nhà,12/7/2024,6:35,5,422218358,,1
13508,4237,"Dùng tạm được nhưng có nhiều lỗi nhỏ, không ấn tượng.",15/09/2024,14:57,2,422201725,tạm không_ấn,0
13509,350,Bông rất ok nhưng giá hơi cao,17/07/2023,21:04,5,207500003,đồng_ý,1
13510,2304,Dùng ổn,12/7/2017,9:21,4,204000059,ổn,1
13511,1219,"Mình mua thử 4 miếng xài cũng ok. Tinh chất vừa đủ, khô k để lại bết dính. Mình mới sử dụng với sử dụng k đều nên cũng chưa rõ hiệu quả trị thâm mụn. Nhưng thấy k kích ứng, dịu da nên mình đặt mua tiếp.",1/11/2020,20:57,5,422205162,thử xài khô bết dính không_đều ứng_dịu tiếp,1
13512,4290,Sữa rửa mặt này xịn cực,29/08/2022,19:35,5,248700001,rửa xịn cực,1
13513,460,"Không đặc biệt, nhưng cũng không làm tôi thất vọng.",2/5/2023,1:03,3,308500018,không_làm thất_vọng,0
13514,175,Ok nhé,4/11/2022,17:42,5,205100146,,1
13515,1978,Tốt - Phù hợp với da mình.,11/3/2023,19:57,5,249500027,,1
13516,2371,"MÙI HƯƠNG DỄ CHỊU, LÀM MÁT NHANH, GIÁ THÀNH ỔN",29/04/2023,19:47,5,204100019,ổn,1
13517,1987,"Tui da khô nên dùng cái tuýp tinh chất này thấy cấp ẩm khá ok, ko khô da nữa mà có lớp nền nâng 1 tông tự nhiên.",26/10/2022,22:53,5,249500027,khô không_khô nâng,1
13518,244,"giao hàng nhanh, giá ổn nhưng mà mình không được tặng chai bé như shop đã quảng cáo dù bill đã trên 200k và ở tphcm",6/10/2021,11:29,4,422211446,ổn tặng bé quảng_cáo,1
13519,297,"Em này có tạo bọt nhưng ít thôi và thích hợp xài vào buổi sáng hơn là buổi tối vì em này làm sạch rất là dịu nhẹ luôn không mùi , không màu và chất gel đặc sệt , trong suốt nhìn rất là đã mắt và phải rửa lại với nước thật nhiều nếu bạn không thích lớp màng ẩm nhớt nhớt mà sữa rửa mặt để lại sau khi rửa xong",11/4/2021,12:28,5,211300007,thích_hợp xài sạch dịu nhẹ không_mùi_không_màu đặc_sệt rửa không_thích ẩm_nhớt nhớt rửa,1
13520,1149,sao không thấy hàng tặng shop,11/1/2023,15:22,5,422218629,tặng,1
13521,4077,"Mình sử sụng 1 tuần rồi và thấy da được cải thiện. Mình làm mới quy trình skincare luôn 1 lần gồm: nc hoa hồng trị mụn 30days Some By Mi, kèm theo bha 2% của Paula's choi và kem dưỡng trị mụn cùng dòng 30days của Some By Mi, mặt nạ đất sét some by Mi luôn nên mình nghĩ đều có tác dụng tốt. Do mình đổi quy trình và các sản phẩm này đều hoàn toàn mới sử dụng lần đầu nên mình không rõ là cái nào giúp da mình cải thiện hơn. Tuy nhiên, mụn ẩn bớt đi, da mịn hơn, cồi mụn cũng khô nhanh hơn.",18/08/2021,20:28,5,345800003,sử_sụng trình skincare kèm mụn đổi_trình không_rõ giúp cải_thiện bớt đi mịn khô_chóng,1
13522,2193,"Sử sụng dễ dàng, rất thoải mái, thư giãn tột độ.",4/5/2023,19:34,5,422205164,dễ_dàng thoải_mái,1
13523,2335,"sử dụng dễ dàng, rat thoải mái,thư giãn tột độ",2/5/2023,17:21,5,422205164,dễ_dàng thoải_mái,1
13524,3837,"Có hiệu quả trên mụn sưng và viêm, lúc mua tưởng tuýp ít nhưng dùng cũng được khá lâu, giá cả hợp lý rất đáng để đầu tư, must try nha.",16/05/2024,16:01,5,422219400,tưởng giá_cả đầu_tư thử,1
13525,543,"Những thành phần đầu tiên trong list ingredient là chất làm ẩm, niacinamide, snail, nên theo mình thấy vụ minimize pores hay lành sẹo chủ yếu là do có niacinamide, còn tinh chất snail mang yếu tố giữ ẩm và tạo texture thôi, nói chung serum này ổn, vòi pump vệ sinh, da bớt dầu, mặt láng hơn, để xài hết sẽ cân nhắc giữa cái này với niacinamide của TO xem cái nào lợi hơn",17/01/2020,20:19,5,345800015,trọng_sách minimize pores khô chủ_yếu chất serum ổn bớt láng xài cân_nhắc lợi,1
13526,3520,xài da sáng rõ luôn giảm thâm nám đỉnh,21/07/2024,1:23,5,422221764,xài,1
13527,3017,Thấm lâu nhưng dưỡng ẩm khá tốt,24/04/2024,16:38,5,343700002,thấm dưỡng,1
13528,152,Chưa sử dụng nhưng nghe chị hà linh rivew khen ngợi nên khá yên tâm . Sản phẩm dành cho da nhạy cảm và cấp ấm thì cũng yên tâm mà sử dụng,2/3/2023,21:47,5,205100136,nghệ hà yên_tâm ấm yên_tâm,1
13529,3395,"Không có gì tệ hơn, thật sự thất vọng với chất lượng này.",10/8/2022,19:05,1,422204231,tệ,0
13530,799,"dùng em này thích lắm, mùi ngọt ngọt dịu nhẹ, da dầu mụn như mình dùng đã nè, Hasaki hay sale nữa",19/12/2020,21:32,5,200400003,dịu nhẹ mụn nè hasaki khô,1
13531,62,"bông dùng rất thích, mềm, ko bị xơ, ổn nhất trong tất cả bông mk từng dùng",16/04/2022,18:17,5,422203302,mềm xơ_ổn,1
13532,24,"Cái này quên ko chụp hình h lười không chụp nhưng cho 5* vì không có gì để chê , 1 lọ dùng lâu ơi là lâu mới hết , không kích ứng , không bết rít mặc dù chất hơi sệt hơn so với toner khác nhưng lên phát khô luôn, làm dịu da quá ok . dùng mấy lọ rồi, vẫn sẽ tiếp tục ủng hộ",31/08/2023,16:28,5,318900012,quên lười_không_chụp chê_lọ không_bết_rít hơi_sệt phát khô dịu đồng_ý,1
13534,3933,Dịch vụ bên mình rất tốt ạ,16/03/2023,18:51,5,201600072,dịch_vụ,1
